Org Type,Beds,USNEWS Directory,City,State,Par Org,Organization,Pri. Domain,Full Org URL,YouTube Account,YouTube Date,YouTube URL ,TW 1st update,Twitter Account,Twitter URL,FaceBook URL,Blog,FourSquare,LinkedIn,Pinterest,Google+,Delicious,Flickr,Quantcast,Compete
H-GenMed&Surg,499,http://health.usnews.com/best-hospitals/st.-anthony-hospital-6730830,Oklahoma City,OK,SSM Health Care,St. Anthony Hospital,saintsok.com,http://www.saintsok.com/internet/home/saintsok.nsf/?Open,none,,none,20/10/2009,saintsok,https://twitter.com/#!/saintsok,http://www.facebook.com/saintsok,none,https://foursquare.com/venue/19387283,none,,,,,,
H-GenMed&Surg,95,http://health.usnews.com/best-hospitals/unity-health-center-6730051 ,Shawnee,OK,none,Unity Health Center,unityhealthcenter.com,http://www.unityhealthcenter.com,none,,none,,none,none,none,none,http://foursquare.com/venue/3967269,none,,,,,,
H-GenMed&Surg,119,none,Stillwater,OK,none,Stillwater  Medical Center,stillwater-medical.org,http://www.stillwater-medical.org,none,,none,14/04/2009,SMCHR,http://twitter.com/SMCHR,none,none,http://foursquare.com/venue/2295649,http://www.linkedin.com/companies/stillwater-medical-center,,,,,,
H-GenMed&Surg,509,http://health.usnews.com/best-hospitals/hillcrest-medical-center-6731180,Tulsa,OK,Ardent Health Services,Hillcrest Medical Center,hillcrest.com,http://hillcrest.com/,none,,none,,none,none,http://www.facebook.com/hillcrestmedicalcenter,none,https://foursquare.com/venue/1472646,http://www.linkedin.com/company/961721,,,,,,
H-GenMed&Surg,148,http://health.usnews.com/best-hospitals/southcrest-hospital-6730029 ,Tulsa,OK,"Community Health Systems, Inc",SouthCrest Hospital,southcresthospital.com,http://www.southcresthospital.com,SouthCrestHospital,06/02/09,http://www.youtube.com/user/SouthCrestHospital,,none,none,http://www.facebook.com/pages/SouthCrest-Hospital/86878003299,none,http://foursquare.com/venue/10126706,none,,,,,,
H-GenMed&Surg,185,http://health.usnews.com/best-hospitals/good-samaritan-reg-med-center-6920110,Corvallis,OR,Samaritan Health Services,Good Samaritan Regional Medical Center,samhealth.org,http://www.samhealth.org/shs_facilities/gsrmc/,none,,none,11/06/2009,GoodSamHospital,http://twitter.com/GoodSamHospital,none,none,http://foursquare.com/venue/1553184,none,,,,,,
H-GenMed&Surg,476,http://health.usnews.com/best-hospitals/sacred-heart-medical-center-6920160 ,Eugene,OR,PeaceHealth,Sacred Heart Medical Center,peacehealth.org,http://www.peacehealth.org,PeaceHealthOregon,06/26/08,http://www.youtube.com/user/PeaceHealthOregon,01/06/2009,PeaceHealth_ore,http://twitter.com/PeaceHealth_ore,none,none,http://foursquare.com/venue/3636861,none,,,,,,
H-Rehab,55,http://health.usnews.com/best-hospitals/serenity-lane-6920002,Eugene,OR,none,Serenity Lane,serenitylane.org,http://www.serenitylane.org/,none,,none,,none,none,http://www.facebook.com/pages/Serenity-Lane/150852870134,none,none,http://www.linkedin.com/company/1111128,,,,,,
Health System,NA,none,Lebanon,OR,Samaritan Health Services,Samaritan Health Services,samhealth.org,http://www.samhealth.org/shs_facilities/lch/,none,,none,01/06/2009,SamHealth,http://twitter.com/SamHealth,none,none,none,http://www.linkedin.com/companies/samaritan-health-services,,,,,,
H-GenMed&Surg,25,http://health.usnews.com/best-hospitals/samaritan-lebanon-comm-hosp-6920241,Lebanon,OR,Samaritan Health Services,Samaritan Lebanon Community Hospital ,samhealth.org,http://www.samhealth.org/,none,,none,27/07/2009,samaritanLCH,http://twitter.com/samaritanlch,none,none,http://foursquare.com/venue/2132868,none,,,,,,
